,0
0,0.19078333333333333
1,0.6865777777777777
2,0.4728777777777778
3,0.76875
4,0.5526277777777778
5,0.11827222222222222
6,0.8774388888888889
7,0.7452
8,0.8351055555555555
9,0.7656833333333334
10,0.7835
11,0.7570277777777777
12,0.6213444444444445
13,0.3715277777777778
14,0.5620333333333334
15,0.4049611111111111
16,0.22548888888888888
17,0.8389166666666666
18,0.36267777777777777
19,0.4720111111111111
20,0.5257
21,0.5224166666666666
22,0.6018055555555556
23,0.2812222222222222
24,0.3877388888888889
25,0.3895
26,0.8202055555555555
27,0.8297833333333333
28,0.20786666666666667
29,0.34617777777777775
30,0.7626666666666667
31,0.7593333333333333
32,0.3937222222222222
33,0.3320888888888889
34,0.9000611111111111
35,0.8242055555555555
36,0.7968944444444445
37,0.3022444444444444
38,0.7566055555555555
39,0.28245555555555557
40,0.48838333333333334
41,0.7988277777777778
42,0.46892222222222224
43,0.7384
44,0.8784888888888889
45,0.3375388888888889
46,0.38308888888888887
47,0.8299833333333333
48,0.29497222222222225
49,0.23197222222222222
50,0.7746944444444445
51,0.8380111111111112
52,0.6223222222222222
53,0.7464944444444445
54,0.3772277777777778
55,0.6567166666666666
56,0.3816555555555556
57,0.8528055555555556
58,0.3666333333333333
59,0.7207833333333333
60,0.7552833333333333
61,0.7462611111111112
62,0.17683888888888888
63,0.45265
64,0.8563222222222222
65,0.42155
66,0.7634055555555556
67,0.6894722222222223
68,0.5545277777777777
69,0.3514777777777778
70,0.6260388888888889
71,0.7733444444444444
72,0.8728444444444444
73,0.37667222222222224
74,0.7438166666666667
75,0.83955
76,0.5236888888888889
77,0.7551944444444444
78,0.4291611111111111
79,0.23312222222222223
80,0.3475611111111111
81,0.8660444444444444
82,0.23626666666666668
83,0.7234222222222222
84,0.6725611111111112
85,0.3784666666666667
86,0.8313611111111111
87,0.7946666666666666
88,0.6061222222222222
89,0.7474055555555555
90,0.2927
91,0.3459055555555556
92,0.6287888888888888
93,0.4061777777777778
94,0.22233333333333333
95,0.3338388888888889
96,0.7320277777777778
97,0.5532555555555555
98,0.6139833333333333
99,0.6987055555555556
100,0.68895
101,0.7730611111111111
102,0.5641
103,0.5746666666666667
104,0.7670833333333333
105,0.7314722222222222
106,0.7547444444444444
107,0.11827222222222222
108,0.7185111111111111
109,0.6645444444444445
110,0.8029722222222222
111,0.19493333333333332
112,0.7869833333333334
113,0.8780555555555556
