,Accuracy,Topology,Activation,Alpha,Lambda,Epochs,Batch Size
87,0.7946666666666666,[784  10],tanh,0.17,0.2,140,50
29,0.7906333333333333,[784 100  10],tanh,0.74,0.5,10,40
23,0.7873277777777777,[784  30  10],tanh,0.38,0.3,30,20
112,0.7869833333333334,[784  10],tanh,0.03,0.4,270,60
10,0.7835,[784  11  10],relu,0.37,0.6,300,50
4,0.7807944444444445,[784 100  10],relu,0.0699999999999999,2.7,30,60
53,0.7792833333333333,[784  30  10],tanh,0.92,0.4,10,40
20,0.7776055555555555,[784  60  10],relu,0.62,0.9,40,60
50,0.7746944444444445,[784  10],softmax,0.09,0.8,140,90
71,0.7733444444444444,[784  11  10],tanh,0.8400000000000001,0.2,170,40
101,0.7730611111111111,[784  10  10],relu,0.34,0.3,90,40
3,0.76875,[784  10],tanh,0.06,0.5,80,50
104,0.7670833333333333,[784  10],relu,0.67,0.5,410,90
9,0.7656833333333334,[784  10],relu,0.14,0.6,120,60
66,0.7634055555555556,[784  10],relu,0.3,0.6,280,70
30,0.7626666666666667,[784  10],softmax,0.15,0.8,240,70
31,0.7593333333333333,[784  10],softmax,0.94,0.1,370,70
11,0.7570277777777777,[784  10],tanh,0.18,0.9,300,70
38,0.7566055555555555,[784  10],relu,0.3,0.5,110,60
60,0.7552833333333333,[784  10],softmax,0.16,0.8,170,60
77,0.7551944444444444,[784  10],tanh,0.17,0.4,300,40
106,0.7547444444444444,[784  10],tanh,0.89,0.3,80,90
28,0.7501,[784  30  10],relu,0.89,0.3,50,90
141,0.7474611111111111,[784 100  10],relu,0.45,2.1,30,60
89,0.7474055555555555,[784  10],softmax,0.27,0.7000000000000001,180,60
71,0.7465833333333334,[784 100  10],tanh,0.01,0.4,40,10
53,0.7464944444444445,[784  10],relu,0.46,0.6,270,70
61,0.7462611111111112,[784  10],relu,0.35,0.8,320,80
7,0.7452,[784  10],softmax,0.43,0.7000000000000001,280,80
61,0.7450833333333333,[784 100  10],tanh,0.86,0.7000000000000001,20,50
9,0.7442888888888889,[784  60  10],relu,0.28,0.7000000000000001,10,20
74,0.7438166666666667,[784  10],tanh,0.47,0.2,370,40
43,0.7384,[784  10],relu,0.5,0.1,70,30
96,0.7320277777777778,[784  10  10],tanh,0.17,0.8,230,30
105,0.7314722222222222,[784  10],softmax,0.7100000000000001,0.1,380,60
179,0.7308111111111111,[784  30  10],tanh,0.54,1.1,20,50
83,0.7234222222222222,[784  10],relu,0.45,0.9,230,70
59,0.7207833333333333,[784  10],softmax,0.66,0.7000000000000001,50,80
108,0.7185111111111111,[784  10  10],tanh,0.75,0.7000000000000001,270,80
16,0.7107388888888889,[784 100  10],tanh,0.0699999999999999,2.5000000000000004,10,50
170,0.7003444444444444,[784 100  10],tanh,0.91,0.2,40,30
99,0.6987055555555556,[784  10  10],relu,0.34,0.9,340,40
67,0.6894722222222223,[784  10],softmax,0.4,0.6,270,40
41,0.6893222222222222,[784  60  10],tanh,0.78,0.8,40,50
100,0.68895,[784  10],softmax,0.28,0.9,110,40
131,0.6886611111111111,[784 100  10],tanh,0.11,2.7,20,50
1,0.6865777777777777,[784  10],softmax,0.73,0.2,70,40
37,0.68205,[784 100  10],tanh,0.4,2.6,40,70
119,0.6725833333333333,[784 100  10],tanh,0.66,2.1,40,80
84,0.6725611111111112,[784  11  10],tanh,0.8,0.5,300,80
107,0.6702,[784  30  10],tanh,0.22,2.6,20,50
31,0.6674666666666667,[784 100  10],relu,0.33,0.1,50,10
109,0.6645444444444445,[784  10],tanh,0.53,0.3,120,50
12,0.6621555555555556,[784  60  10],tanh,0.95,0.5,20,40
169,0.6611777777777778,[784  30  10],tanh,0.79,2.1,40,80
55,0.6567166666666666,[784  10],relu,0.15,0.7000000000000001,140,20
151,0.6495888888888889,[784 100  10],tanh,0.4,0.5,10,20
32,0.6385333333333333,[784  60  10],relu,0.52,0.5,20,30
80,0.6304388888888889,[784  30  10],tanh,0.01,2.3000000000000003,10,30
92,0.6287888888888888,[784  10],tanh,0.73,0.7000000000000001,170,70
70,0.6260388888888889,[784  10],softmax,0.46,0.9,320,40
196,0.6236777777777778,[784 100  10],tanh,1.22,0.8,10,70
