,0
0,0.9090388888888888
1,0.8137277777777778
2,0.3737388888888889
3,0.8958555555555555
4,0.7807944444444445
5,0.10949444444444445
6,0.11827222222222222
7,0.8766388888888889
8,0.11827222222222222
9,0.0852
10,0.11827222222222222
11,0.14985
12,0.11827222222222222
13,0.10949444444444445
14,0.11827222222222222
15,0.11827222222222222
16,0.7107388888888889
17,0.5156277777777778
18,0.35707777777777777
19,0.19965555555555556
20,0.11827222222222222
21,0.11827222222222222
22,0.10949444444444445
23,0.5762277777777778
24,0.11827222222222222
25,0.11827222222222222
26,0.11827222222222222
27,0.8794777777777778
28,0.11827222222222222
29,0.07962777777777778
30,0.11827222222222222
31,0.8500444444444445
32,0.8993111111111111
33,0.11827222222222222
34,0.21578333333333333
35,0.11827222222222222
36,0.9552333333333334
37,0.68205
38,0.11827222222222222
39,0.9016444444444445
40,0.11827222222222222
41,0.1338777777777778
42,0.5433388888888889
43,0.1922111111111111
44,0.1053111111111111
45,0.10171111111111111
46,0.11827222222222222
47,0.0852
48,0.10171111111111111
49,0.07962777777777778
50,0.11827222222222222
51,0.9360722222222222
52,0.2082388888888889
53,0.10171111111111111
54,0.11827222222222222
55,0.11827222222222222
56,0.8976833333333334
57,0.11827222222222222
58,0.10949444444444445
59,0.11827222222222222
60,0.07962777777777778
61,0.07962777777777778
62,0.15544444444444444
63,0.12298333333333333
64,0.11827222222222222
65,0.09591111111111111
66,0.09591111111111111
67,0.10949444444444445
68,0.11827222222222222
69,0.07962777777777778
70,0.09591111111111111
71,0.10171111111111111
72,0.11827222222222222
73,0.10171111111111111
74,0.10949444444444445
75,0.11827222222222222
76,0.11827222222222222
77,0.07962777777777778
78,0.9281
79,0.11826666666666667
80,0.6304388888888889
81,0.5281555555555556
82,0.0895611111111111
83,0.11827222222222222
84,0.11827222222222222
85,0.11827222222222222
86,0.11827222222222222
87,0.11827222222222222
88,0.09591111111111111
89,0.0895611111111111
90,0.10949444444444445
91,0.11827222222222222
92,0.11827222222222222
93,0.10949444444444445
94,0.5791444444444445
95,0.11825555555555556
96,0.8768
97,0.11827222222222222
98,0.3131888888888889
99,0.8329111111111112
100,0.25863888888888886
101,0.09192777777777777
102,0.11827222222222222
103,0.11827222222222222
104,0.11827222222222222
105,0.11827222222222222
106,0.9111666666666667
107,0.6702
108,0.5595388888888889
109,0.11827222222222222
110,0.10171111111111111
111,0.9716944444444444
112,0.12298333333333333
113,0.11827222222222222
114,0.3188611111111111
115,0.19868333333333332
116,0.10949444444444445
117,0.11827222222222222
118,0.11827222222222222
119,0.6725833333333333
120,0.11827222222222222
121,0.308
122,0.10949444444444445
123,0.07962777777777778
124,0.90825
125,0.11827222222222222
126,0.10171111111111111
127,0.09591111111111111
128,0.14682222222222222
129,0.10949444444444445
130,0.8143555555555556
131,0.6886611111111111
132,0.20298333333333332
133,0.48878333333333335
134,0.11827222222222222
135,0.09591111111111111
136,0.0852
137,0.11827222222222222
138,0.11827222222222222
139,0.1574222222222222
140,0.11827222222222222
141,0.7474611111111111
142,0.50645
143,0.11827222222222222
144,0.10171111111111111
145,0.26845
146,0.10875555555555555
147,0.1053111111111111
148,0.8047666666666666
149,0.11827222222222222
150,0.14269444444444446
151,0.6495888888888889
152,0.10171111111111111
153,0.11827222222222222
154,0.10171111111111111
155,0.11827222222222222
156,0.10949444444444445
157,0.11827222222222222
158,0.12298333333333333
159,0.9160055555555555
160,0.11827222222222222
161,0.8642
162,0.10171111111111111
163,0.3127611111111111
164,0.8865444444444445
165,0.07962777777777778
166,0.3559777777777778
167,0.10171111111111111
168,0.2307722222222222
169,0.6611777777777778
170,0.7003444444444444
171,0.5767777777777777
172,0.11108888888888889
173,0.8887111111111111
174,0.178
175,0.11827222222222222
176,0.11827222222222222
177,0.09591111111111111
178,0.43795
179,0.7308111111111111
180,0.11827222222222222
181,0.5901944444444445
182,0.20903333333333332
183,0.8454055555555555
184,0.9775444444444444
185,0.11827222222222222
186,0.3516388888888889
187,0.8017611111111111
188,0.9649666666666666
189,0.11827222222222222
190,0.11827222222222222
191,0.49906666666666666
192,0.10949444444444445
193,0.11827222222222222
194,0.9481
195,0.11827222222222222
196,0.6236777777777778
197,0.10171111111111111
